Date;Time;G-Force;Voltage;Temperature
15-05-2020;10:43:14;1,016936;4,189929;29,40545
15-05-2020;10:43:15;1,014519;4,189929;29,40545
15-05-2020;10:43:15;1,012436;4,189929;29,39472
15-05-2020;10:43:16;1,015671;4,189929;29,40545
15-05-2020;10:43:16;1,01589;4,189929;29,40545
15-05-2020;10:43:17;1,014876;4,189929;29,40545
15-05-2020;10:43:17;1,013874;4,189929;29,4269
15-05-2020;10:43:18;1,014097;4,189929;29,40545
15-05-2020;10:45:11;0,9905968;4,189929;29,52342
15-05-2020;10:45:12;0,9220634;4,189929;29,52342
15-05-2020;10:45:13;0,9929923;4,189929;29,5127
15-05-2020;10:45:13;0,9969049;4,189929;29,5127
15-05-2020;10:45:14;1,019712;4,189929;29,52342
15-05-2020;10:45:14;0,9830645;4,189929;29,5127
15-05-2020;10:45:15;1,006767;4,189929;29,52342
15-05-2020;10:45:15;0,9911628;4,189929;29,52342
15-05-2020;10:45:16;1,01881;4,189929;29,5127
15-05-2020;10:45:16;1,015824;4,189929;29,52342
15-05-2020;10:45:17;1,063266;4,189929;29,53415
15-05-2020;10:45:18;1,004422;4,189929;29,5127
15-05-2020;10:45:18;1,034662;4,189929;29,52342
15-05-2020;10:45:19;1,019573;4,189929;29,52342
15-05-2020;10:45:19;1,017336;4,189929;29,5127
15-05-2020;10:45:20;1,012376;4,189929;29,5127
15-05-2020;10:45:20;1,050023;4,18491;29,53415
15-05-2020;10:45:21;1,067411;4,189929;29,5127
15-05-2020;10:45:21;1,006916;4,189929;29,5127
15-05-2020;10:45:22;1,010777;4,189929;29,52342
15-05-2020;10:45:22;1,008937;4,189929;29,53415
15-05-2020;10:50:58;1,016319;4,189929;29,71648
15-05-2020;10:50:59;1,026649;4,189929;29,7272
15-05-2020;10:50:59;1,019568;4,189929;29,70575
15-05-2020;10:51:00;1,001862;4,189929;29,7272
15-05-2020;10:51:00;0,9946333;4,189929;29,70575
15-05-2020;10:51:01;1,021268;4,189929;29,71648
15-05-2020;10:51:01;1,014568;4,18491;29,73792
15-05-2020;10:51:02;1,027203;4,18491;29,7272
15-05-2020;10:51:02;1,007882;4,189929;29,71648
15-05-2020;10:51:03;1,002547;4,189929;29,73792
15-05-2020;10:51:03;1,022705;4,189929;29,71648
15-05-2020;10:51:04;1,010868;4,189929;29,73792
15-05-2020;10:51:04;1,004466;4,189929;29,71648
15-05-2020;10:51:05;1,00586;4,189929;29,7272
15-05-2020;10:51:06;1,009785;4,189929;29,73792
15-05-2020;10:51:06;1,013006;4,18491;29,7272
15-05-2020;10:51:07;1,013219;4,189929;29,73792
15-05-2020;10:51:07;1,004577;4,189929;29,73792
15-05-2020;10:51:08;1,01075;4,189929;29,74865
15-05-2020;10:55:01;1,008746;4,189929;29,8559
15-05-2020;10:55:02;1,00268;4,189929;29,84518
15-05-2020;10:55:02;1,001654;4,18491;29,8559
15-05-2020;10:55:03;0,992867;4,18491;29,83445
15-05-2020;10:55:03;0,9455476;4,189929;29,84518
15-05-2020;10:55:04;0,9916046;4,189929;29,8559
15-05-2020;10:55:04;1,003128;4,189929;29,8559
15-05-2020;10:55:05;1,025237;4,189929;29,8559
15-05-2020;10:55:05;1,119371;4,189929;29,8559
15-05-2020;10:55:06;0,9807092;4,189929;29,8559
15-05-2020;10:55:06;0,9867212;4,18491;29,84518
15-05-2020;10:55:07;1,009728;4,18491;29,8559
15-05-2020;10:55:07;1,013302;4,189929;29,84518
15-05-2020;10:55:08;0,9772989;4,189929;29,8559
15-05-2020;10:55:08;1,078352;4,189929;29,8559
15-05-2020;10:55:09;0,9889846;4,189929;29,8559
15-05-2020;10:55:10;1,009381;4,189929;29,8559
15-05-2020;10:55:10;0,9990898;4,189929;29,8559
15-05-2020;10:55:11;1,003051;4,18491;29,8559
15-05-2020;10:56:53;1,169727;4,18491;29,9417
15-05-2020;10:56:54;0,9906123;4,18491;29,93098
15-05-2020;10:56:55;1,222759;4,18491;29,9417
15-05-2020;10:56:55;0,2365338;4,189929;29,95242
15-05-2020;10:56:56;1,165865;4,18491;29,95242
15-05-2020;10:56:56;1,072904;4,189929;29,95242
15-05-2020;10:56:57;1,040473;4,189929;29,96315
15-05-2020;10:56:57;1,01492;4,18491;29,9417
15-05-2020;10:56:58;1,010136;4,18491;29,9417
15-05-2020;10:56:58;1,027901;4,189929;29,96315
15-05-2020;10:56:59;1,034392;4,189929;29,9417
15-05-2020;10:56:59;1,035513;4,18491;29,96315
15-05-2020;10:57:00;1,024474;4,18491;29,9417
15-05-2020;10:57:00;1,021401;4,18491;29,96315
15-05-2020;10:57:01;1,016436;4,189929;29,9417
15-05-2020;10:57:01;1,024256;4,18491;29,96315
15-05-2020;10:57:02;1,024472;4,18491;29,95242
15-05-2020;10:57:03;1,020712;4,189929;29,95242
15-05-2020;10:57:03;1,051215;4,18491;29,96315
15-05-2020;10:57:04;1,019405;4,189929;29,95242
15-05-2020;10:57:04;1,022104;4,189929;29,95242
15-05-2020;10:57:05;1,005638;4,18491;29,96315
15-05-2020;10:58:06;1,001804;4,18491;30,0275
15-05-2020;10:58:07;1,350874;4,189929;30,00605
15-05-2020;10:58:07;1,486688;4,189929;30,03823
15-05-2020;10:58:08;0,9151261;4,189929;30,01678
15-05-2020;10:58:08;0,9724755;4,189929;30,03823
15-05-2020;10:58:09;0,941094;4,18491;30,03823
15-05-2020;10:58:09;0,9802122;4,18491;30,04895
15-05-2020;10:58:10;0,9399581;4,189929;30,07041
15-05-2020;10:58:10;1,057728;4,189929;30,03823
15-05-2020;10:58:11;1,039592;4,189929;30,04895
15-05-2020;10:58:12;1,081152;4,189929;30,04895
15-05-2020;10:58:12;0,9850012;4,189929;30,04895
15-05-2020;10:58:13;1,007815;4,18491;30,01678
15-05-2020;10:58:13;1,012952;4,189929;30,05968
15-05-2020;10:58:14;1,013921;4,189929;30,04895
15-05-2020;10:58:14;1,008965;4,189929;30,04895
15-05-2020;10:58:15;1,042163;4,189929;30,05968
15-05-2020;10:58:15;1,026505;4,18491;30,0275
15-05-2020;10:58:16;1,035208;4,189929;30,03823
15-05-2020;10:58:16;1,02893;4,18491;30,0275
15-05-2020;10:58:17;1,02392;4,18491;30,07041
15-05-2020;10:58:17;1,023883;4,18491;30,05968
15-05-2020;10:58:18;1,023504;4,189929;30,05968
15-05-2020;10:58:19;0,9575079;4,189929;30,05968
15-05-2020;10:58:19;1,099234;4,18491;30,04895
15-05-2020;10:58:27;1,019253;4,18491;30,05968
15-05-2020;10:58:28;1,025105;4,18491;30,05968
15-05-2020;10:58:29;1,024096;4,18491;30,07041
15-05-2020;10:58:29;1,03076;4,189929;30,08113
15-05-2020;10:58:30;1,030139;4,189929;30,05968
15-05-2020;10:58:30;1,027834;4,189929;30,08113
15-05-2020;10:58:31;1,03699;4,18491;30,05968
15-05-2020;10:58:31;1,032166;4,18491;30,07041
15-05-2020;10:58:32;1,023286;4,18491;30,05968
15-05-2020;10:58:32;1,0278;4,18491;30,08113
15-05-2020;10:58:33;1,023093;4,18491;30,08113
15-05-2020;10:58:34;1,039033;4,18491;30,08113
15-05-2020;10:58:34;1,02379;4,189929;30,08113
15-05-2020;10:58:35;1,021;4,18491;30,08113
15-05-2020;10:58:35;1,026576;4,18491;30,08113
15-05-2020;10:58:36;1,026137;4,18491;30,09185
15-05-2020;10:58:36;1,026685;4,189929;30,10258
15-05-2020;10:58:37;1,024335;4,18491;30,07041
15-05-2020;10:58:37;1,030557;4,18491;30,08113
15-05-2020;10:58:59;1,018087;4,18491;30,14548
15-05-2020;10:59:00;0,9796834;4,189929;30,1562
15-05-2020;10:59:01;0,9932072;4,18491;30,1562
15-05-2020;10:59:01;1,062775;4,18491;30,13475
15-05-2020;10:59:02;1,017796;4,189929;30,14548
15-05-2020;10:59:02;1,015603;4,189929;30,1562
15-05-2020;10:59:03;0,979199;4,189929;30,16693
15-05-2020;10:59:03;1,000784;4,18491;30,16693
15-05-2020;10:59:04;0,9981838;4,189929;30,16693
15-05-2020;10:59:04;0,998033;4,189929;30,16693
15-05-2020;10:59:05;0,9991635;4,18491;30,14548
15-05-2020;10:59:06;0,9983709;4,189929;30,16693
15-05-2020;10:59:06;1,017831;4,18491;30,17765
15-05-2020;10:59:07;1,003154;4,18491;30,17765
15-05-2020;10:59:07;1,003842;4,18491;30,17765
15-05-2020;10:59:08;1,003766;4,18491;30,16693
15-05-2020;10:59:08;0,9714671;4,189929;30,17765
15-05-2020;10:59:09;1,003167;4,18491;30,17765
15-05-2020;10:59:09;1,007129;4,18491;30,16693
15-05-2020;11:32:49;0,996291;4,18491;29,93098
15-05-2020;11:32:50;1,000989;4,18491;29,9417
15-05-2020;11:32:51;1,000986;4,18491;29,92025
15-05-2020;11:32:51;0,9977132;4,18491;29,93098
15-05-2020;11:32:52;1,025472;4,18491;29,93098
15-05-2020;11:32:52;1,016508;4,18491;29,9417
15-05-2020;11:32:53;1,058236;4,18491;29,93098
15-05-2020;11:32:53;1,016068;4,18491;29,92025
15-05-2020;11:32:54;1,158794;4,18491;29,95242
15-05-2020;11:32:54;1,055973;4,18491;29,9417
15-05-2020;11:32:55;1,014835;4,18491;29,9417
15-05-2020;11:32:55;0,9930186;4,18491;29,9417
15-05-2020;11:32:56;1,017022;4,18491;29,93098
15-05-2020;11:32:56;1,030638;4,18491;29,92025
15-05-2020;11:32:57;1,032593;4,18491;29,93098
15-05-2020;11:32:58;1,010527;4,18491;29,93098
15-05-2020;11:32:58;1,002589;4,18491;29,92025
15-05-2020;11:32:59;1,006024;4,18491;29,9417
15-05-2020;11:32:59;1,011155;4,18491;29,9417
15-05-2020;11:33:18;1,024092;4,18491;29,95242
